"decade"	"timeline"
1970	"met,12,romantic,25,married,-99"
1970	"met,4,romantic,21,married,-99"
1970	"met,3,romantic,5,married,-99"
1970	"met,13,romantic,22,married,-99"
1970	"met,1,romantic,19,married,-99"
1970	"romantic,4,married,-99"
1970	"met,11,romantic,24,married,-99"
1970	"met,6,romantic,29,lived,6,married,-99"
1970	"met,1,romantic,18,married,-99"
1970	"romantic,24,married,-99"
1970	"met,1,romantic,51,married,-99"
1970	"romantic,13,married,-99"
1970	"romantic,27,married,-99"
1970	"met,13,romantic,16,married,-99"
1970	"met,1,romantic,28,married,-99"
1970	"met,5,romantic,3,lived,13,married,-99"
1970	"met,68,romantic,9,married,-99"
1970	"romantic,24,married,-99"
1970	"met,21,romantic,73,married,-99"
1970	"romantic,15,married,-99"
1970	"met,6,romantic,27,married,-99"
1970	"met,13,romantic,16,married,-99"
1970	"met,4,romantic,19,married,-99"
1970	"romantic,29,married,-99"
1970	"romantic,30,married,-99"
1970	"met,1,romantic,79,married,-99"
1970	"romantic,2,lived,7,married,-99"
1970	"romantic,4,married,-99"
1970	"met,2,romantic,5,married,-99"
1970	"met,6,romantic,27,married,-99"
1970	"met,5,romantic,3,married,-99"
1970	"met,7,romantic,32,married,-99"
1970	"met,4,romantic,21,married,-99"
1970	"met,20,romantic,22,married,-99"
1970	"romantic,4,married,-99"
1970	"met,13,romantic,16,married,-99"
1970	"met,6,romantic,71,married,-99"
1970	"met,2,romantic,48,married,-99"
1970	"romantic,2,married,-99"
1970	"met,112,romantic,5,lived,5,married,-99"
1970	"romantic,3,lived,12,married,-99"
1970	"romantic,58,married,-99"
1970	"met,2,romantic,59,married,-99"
1970	"met,53,romantic,31,married,-99"
1970	"met,12,romantic,1,married,-99"
1970	"met,18,romantic,58,married,-99"
1970	"met,13,romantic,30,married,-99"
1970	"met,5,romantic,13,married,-99"
1970	"met,1,romantic,14,married,-99"
1970	"met,25,romantic,2,married,-99"
1970	"romantic,47,married,-99"
1970	"met,11,romantic,24,married,-99"
1970	"met,2,romantic,10,married,-99"
1970	"met,11,romantic,12,married,-99"
1970	"met,102,romantic,31,lived,35,married,-99"
1970	"met,4,romantic,25,lived,17,married,-99"
1970	"met,1,romantic,18,married,-99"
1970	"met,112,romantic,5,lived,5,married,-99"
1970	"met,22,romantic,6,married,-99"
1970	"met,5,romantic,39,married,-99"
1970	"romantic,13,lived,39,married,-99"
1970	"met,121,romantic,11,lived,16,married,-99"
1970	"met,3,romantic,4,married,-99"
1970	"met,12,romantic,4,married,-99"
1970	"met,2,romantic,29,lived,10,married,-99"
1970	"romantic,1,married,-99"
1970	"met,3,romantic,4,married,-99"
1970	"met,3,romantic,30,married,-99"
1970	"met,2,romantic,42,married,-99"
1970	"romantic,32,married,-99"
1970	"met,12,romantic,1,married,-99"
1970	"romantic,4,married,-99"
1970	"met,21,romantic,33,lived,5,married,-99"
1970	"met,4,lived,8,married,-99"
1970	"met,20,romantic,13,married,-99"
1970	"met,54,romantic,11,married,-99"
1970	"met,2,romantic,6,married,-99"
1970	"met,1,romantic,10,married,-99"
1970	"met,4,romantic,37,married,-99"
1970	"met,62,romantic,57,married,-99"
1970	"met,1,romantic,19,married,-99"
1970	"met,1,romantic,46,married,-99"
1970	"met,14,romantic,23,married,-99"
1970	"met,15,romantic,17,lived,19,married,-99"
1970	"met,1,romantic,6,married,-99"
1970	"met,3,romantic,9,married,-99"
2010	"romantic,29,married,-99"
2010	"met,2,lived,1,married,-99"
2010	"met,1,romantic,2,married,-99"
2010	"met,1,romantic,95,lived,16,married,-99"
2010	"met,35,romantic,130,married,-99"
2010	"lived,80,married,-99"
2010	"met,12,lived,33,married,-99"
2010	"met,8,romantic,49,lived,15,married,-99"
2010	"met,10,romantic,43,lived,114,married,-99"
2010	"met,54,romantic,22,married,-99"
2010	"romantic,6,lived,16,married,-99"
2010	"met,119,romantic,20,lived,19,married,-99"
2010	"met,3,romantic,7,married,-99"
2010	"met,1,romantic,13,lived,51,married,-99"
2010	"met,18,romantic,26,lived,60,married,-99"
2010	"met,3,lived,10,married,-99"
2010	"met,11,romantic,3,lived,6,married,-99"
2010	"met,1,romantic,26,lived,4,married,-99"
2010	"met,3,romantic,53,lived,189,married,-99"
